"","","m_true_new"
"524",3.23,0.759510916949111
"525",3.24,0.768524783499018
"526",3.25,0.777299861174691
"527",3.26,0.785834983042558
"528",3.27,0.794129628199053
"529",3.28,0.802183888558582
"530",3.29,0.809998433984687
"531",3.3,0.817574476193643
"532",3.31,0.824913731835961
"533",3.32,0.832018385133925
"534",3.33,0.838891050423415
"535",3.34,0.845534734916465
"536",3.35,0.851952801968311
"537",3.36,0.858148935099512
"538",3.37,0.864127102990906
"539",3.38,0.869891525637002
"540",3.39,0.875446641812583
"541",3.4,0.880797077977883
"542",3.41,0.885947618720209
"543",3.42,0.890903178804387
"544",3.43,0.895668776880999
"545",3.44,0.900249510880315
"546",3.45,0.904650535100891
"547",3.46,0.908877038985144
"548",3.47,0.912934227559729
"549",3.48,0.916827303506078
"550",3.49,0.920561450816022
"551",3.5,0.924141819978757
"552",3.51,0.927573514638482
"553",3.52,0.930861579656653
"554",3.53,0.934010990508781
"555",3.54,0.937026643943004
"556",3.55,0.939913349825992
"557",3.56,0.942675824101131
"558",3.57,0.945318682784059
"559",3.58,0.947846436921582
"560",3.59,0.950263488441443
"561",3.6,0.952574126822433
"562",3.61,0.954782526516713
"563",3.62,0.956892745058914
"564",3.63,0.958908721799535
"565",3.64,0.960834277203235
"566",3.65,0.962673112655871
"567",3.66,0.964428810727364
"568",3.67,0.966104835840822
"569",3.68,0.967704535301549
"570",3.69,0.969231140642852
"571",3.7,0.970687769248644
"572",3.71,0.972077426215927
"573",3.72,0.973403006423134
"574",3.73,0.974667296773128
"575",3.74,0.975872978582331
"576",3.75,0.977022630089974
"577",3.76,0.978118729063869
"578",3.77,0.97916365548132
"579",3.78,0.980159694265923
"580",3.79,0.981109038062961
"581",3.8,0.982013790037908
"582",3.81,0.982875966684272
"583",3.82,0.983697500628559
"584",3.83,0.984480243421591
"585",3.84,0.985225968306727
"586",3.85,0.985936372956755
"587",3.86,0.986613082172335
"588",3.87,0.987257650535888
"589",3.88,0.987871565015726
"590",3.89,0.988456247516078
"591",3.9,0.989013057369407
"592",3.91,0.989543293768082
"593",3.92,0.990048198133096
"594",3.93,0.990528956418054
"595",3.94,0.990986701347152
"596",3.95,0.991422514586288
"597",3.96,0.99183742884684
"598",3.97,0.992232429921985
"599",3.98,0.992608458655718
"600",3.99,0.992966412845005
"601",4,0.993307149075715
"602",4.01,0.999887508437247
